Activiteits-ID,Datum van activiteit,Naam activiteit,Activiteitstype,Beschrijving van activiteit,Verstreken tijd,Afstand,Vergelijkbare poging,Forenzenrit,Uitrusting voor activiteit,Bestandsnaam,Gewicht sporter,Gewicht fiets,Verstreken tijd,Beweegtijd,Afstand,Max. snelheid,Gemiddelde snelheid,Hoogteverschil,Hoogteverlies,Kleinste hoogte,Grootste hoogte,Max. stijgingspercentage,Gemiddeld stijgingspercentage,Gemiddeld positief stijgingspercentage,Gemiddeld negatief stijgingspercentage,Gemiddelde cadans,Max. cadans,Max. hartslag,Gemiddelde hartslag,Maximaal wattage,Gemiddeld wattage,Calorieën,Maximale temperatuur,Gemiddelde temperatuur,Vergelijkbare poging,Totale arbeid,Aantal hardloopsessies,Tijd bergop,Tijd bergaf,Andere tijd,Ervaren inspanning,Gewogen gemiddeld vermogen,Aantal vermogensgegevens,Voorkeur voor ervaren inspanning,Ervaren vergelijkbare poging,Forenzenrit,Totaal geheven gewicht,Van upload,Aan stijgingspercentage aangepaste afstand,Tijd weerbeeld,Weersomstandigheden,Buitentemperatuur,Gevoelstemperatuur,Dauwpunt,Vochtigheid,Luchtdruk,Windsnelheid,Windstoot,Windrichting,Neerslagintensiteit,Tijd zonsopgang,Tijd zonsondergang,Maanstand,Fiets,Uitrusting,Kans op neerslag,Type neerslag,Bewolking,Zicht,UV-index,Ozonwaarde
1838335694,13 sep. 2018 07:45:47,Ochtendloop,Hardloopsessie,,2453,"7,79",,false,,activities/1838335694.gpx,0.0,,2453.0,2434.0,7796.10009765625,5.199999809265137,,34.05934143066406,,46.5,55.0,10.300000190734863,0.006413463037461042,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1842777459,15 sep. 2018 11:53:23,Middagloop,Hardloopsessie,,2033,"6,42",,false,,activities/1842777459.gpx,0.0,,2033.0,2033.0,6428.2001953125,5.5,,31.700183868408203,,46.5,55.0,12.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1844785594,16 sep. 2018 08:50:11,First 10k,Hardloopsessie,,3333,"10,11",,false,,activities/1844785594.gpx,0.0,,3333.0,3316.0,10111.400390625,4.800000190734863,,45.88953399658203,,43.70000076293945,55.0,24.399999618530273,0.004944913554936647,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1851383449,19 sep. 2018 05:22:23,Ochtendloop,Hardloopsessie,,1881,"6,17",,false,,activities/1851383449.gpx,0.0,,1881.0,1875.0,6174.60009765625,6.699999809265137,,19.74725341796875,,46.400001525878906,54.0,9.699999809265137,0.011336767114698887,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1864221453,25 sep. 2018 07:33:41,Ochtendloop,Hardloopsessie,,2454,"8,35",,false,,activities/1864221453.gpx,0.0,,2454.0,2454.0,8356.400390625,5.599999904632568,,31.023717880249023,,46.20000076293945,55.0,8.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1868428030,27 sep. 2018 07:18:31,Ochtendloop,Hardloopsessie,,2493,"8,09",,false,,activities/1868428030.gpx,0.0,,2493.0,2457.0,8089.2001953125,4.900000095367432,,41.78644561767578,,44.79999923706055,55.0,13.0,0.00988972932100296,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1874623889,30 sep. 2018 08:11:56,Ochtendloop,Hardloopsessie,,3306,"10,72",,false,,activities/1874623889.gpx,0.0,,3306.0,3290.0,10723.2001953125,8.899999618530273,,42.67174530029297,,43.70000076293945,55.0,23.799999237060547,-0.01025813166052103,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1883052130,4 okt. 2018 06:30:23,Ochtendloop,Hardloopsessie,,2408,"8,05",,false,,activities/1883052130.gpx,0.0,,2408.0,2403.0,8053.5,5.300000190734863,,33.762290954589844,,43.70000076293945,54.0,26.899999618530273,-0.0024833923671394587,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1903446851,14 okt. 2018 07:27:33,Ochtendloop,Hardloopsessie,,1824,"6,05",,false,,activities/1903446851.gpx,0.0,,1824.0,1805.0,6054.60009765625,6.5,,17.495458602905273,,47.29999923706055,54.29999923706055,6.800000190734863,0.00495491037145257,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1913815638,17 okt. 2018 06:24:22,Ochtendloop,Hardloopsessie,,175255,"7,34",,false,,activities/1913815638.gpx,0.0,,175255.0,2304.0,7341.39990234375,6.300000190734863,,36.687068939208984,,46.5,55.599998474121094,6.900000095367432,-0.0013621379621326923,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
